Time,X(CH1),X(CH2),
Second,Volt,Volt,
1.2641602e+02,4.60000e+00,8.24000e+00,
1.2644531e+02,4.60000e+00,8.24000e+00,
1.2647461e+02,4.60000e+00,8.24000e+00,
1.2650391e+02,4.60000e+00,8.24000e+00,
1.2653320e+02,4.60000e+00,8.24000e+00,
1.2656250e+02,4.60000e+00,8.24000e+00,
1.2659180e+02,4.60000e+00,8.24000e+00,
1.2662109e+02,4.60000e+00,8.24000e+00,
1.2665039e+02,4.60000e+00,8.24000e+00,
1.2667969e+02,4.60000e+00,8.24000e+00,
1.2670898e+02,4.60000e+00,8.24000e+00,
1.2673828e+02,4.60000e+00,8.24000e+00,
1.2676758e+02,4.60000e+00,8.24000e+00,
1.2679688e+02,4.60000e+00,8.24000e+00,
1.2682617e+02,4.60000e+00,8.24000e+00,
1.2685547e+02,4.60000e+00,8.24000e+00,
1.2688477e+02,4.60000e+00,8.24000e+00,
1.2691406e+02,4.60000e+00,8.24000e+00,
1.2694336e+02,4.60000e+00,8.24000e+00,
1.2697266e+02,4.60000e+00,8.24000e+00,
1.2700195e+02,4.60000e+00,8.24000e+00,
1.2703125e+02,4.60000e+00,8.24000e+00,
1.2706055e+02,4.60000e+00,8.24000e+00,
1.2708984e+02,4.60000e+00,8.24000e+00,
1.2711914e+02,4.60000e+00,8.24000e+00,
1.2714844e+02,4.60000e+00,8.24000e+00,
1.2717773e+02,4.60000e+00,8.24000e+00,
1.2720703e+02,4.60000e+00,8.24000e+00,
1.2723633e+02,4.60000e+00,8.24000e+00,
1.2726563e+02,4.60000e+00,8.24000e+00,
1.2729492e+02,4.60000e+00,8.24000e+00,
1.2732422e+02,4.60000e+00,8.24000e+00,
1.2735352e+02,4.60000e+00,8.24000e+00,
1.2738281e+02,4.60000e+00,8.24000e+00,
1.2741211e+02,4.60000e+00,8.24000e+00,
1.2744141e+02,4.60000e+00,8.24000e+00,
1.2747070e+02,4.60000e+00,8.24000e+00,
1.2750000e+02,4.60000e+00,8.24000e+00,
1.2752930e+02,4.60000e+00,8.24000e+00,
1.2755859e+02,4.60000e+00,8.24000e+00,
1.2758789e+02,4.60000e+00,8.24000e+00,
1.2761719e+02,4.60000e+00,8.24000e+00,
1.2764648e+02,4.60000e+00,8.24000e+00,
1.2767578e+02,4.60000e+00,8.24000e+00,
1.2770508e+02,4.60000e+00,8.24000e+00,
1.2773438e+02,4.60000e+00,8.24000e+00,
1.2776367e+02,4.60000e+00,8.24000e+00,
1.2779297e+02,4.60000e+00,8.24000e+00,
1.2782227e+02,4.60000e+00,8.24000e+00,
1.2785156e+02,4.64000e+00,8.24000e+00,
1.2788086e+02,4.60000e+00,8.24000e+00,
1.2791016e+02,4.60000e+00,8.24000e+00,
1.2793945e+02,4.60000e+00,8.24000e+00,
1.2796875e+02,4.60000e+00,8.24000e+00,
1.2799805e+02,4.64000e+00,8.24000e+00,
1.2802734e+02,4.64000e+00,8.24000e+00,
1.2805664e+02,4.60000e+00,8.24000e+00,
1.2808594e+02,4.60000e+00,8.24000e+00,
1.2811523e+02,4.64000e+00,8.24000e+00,
1.2814453e+02,4.60000e+00,8.24000e+00,
1.2817383e+02,4.60000e+00,8.24000e+00,
1.2820313e+02,4.60000e+00,8.24000e+00,
1.2823242e+02,4.64000e+00,8.24000e+00,
1.2826172e+02,4.60000e+00,8.24000e+00,
1.2829102e+02,4.64000e+00,8.24000e+00,
1.2832031e+02,4.60000e+00,8.24000e+00,
1.2834961e+02,4.60000e+00,8.24000e+00,
1.2837891e+02,4.60000e+00,8.24000e+00,
1.2840820e+02,4.64000e+00,8.24000e+00,
1.2843750e+02,4.60000e+00,8.24000e+00,
1.2846680e+02,4.60000e+00,8.24000e+00,
1.2849609e+02,4.64000e+00,8.24000e+00,
1.2852539e+02,4.64000e+00,8.24000e+00,
1.2855469e+02,4.60000e+00,8.24000e+00,
1.2858398e+02,4.64000e+00,8.24000e+00,
1.2861328e+02,4.60000e+00,8.24000e+00,
1.2864258e+02,4.64000e+00,8.24000e+00,
1.2867188e+02,4.64000e+00,8.24000e+00,
1.2870117e+02,4.60000e+00,8.24000e+00,
1.2873047e+02,4.60000e+00,8.24000e+00,
1.2875977e+02,4.60000e+00,8.24000e+00,
1.2878906e+02,4.60000e+00,8.24000e+00,
1.2881836e+02,4.64000e+00,8.24000e+00,
1.2884766e+02,4.60000e+00,8.24000e+00,
1.2887695e+02,4.60000e+00,8.24000e+00,
1.2890625e+02,4.60000e+00,8.24000e+00,
1.2893555e+02,4.64000e+00,8.24000e+00,
1.2896484e+02,4.64000e+00,8.24000e+00,
1.2899414e+02,4.60000e+00,8.24000e+00,
1.2902344e+02,4.64000e+00,8.24000e+00,
1.2905273e+02,4.60000e+00,8.24000e+00,
1.2908203e+02,4.64000e+00,8.24000e+00,
1.2911133e+02,4.64000e+00,8.24000e+00,
1.2914063e+02,4.64000e+00,8.24000e+00,
1.2916992e+02,4.64000e+00,8.24000e+00,
1.2919922e+02,4.64000e+00,8.24000e+00,
1.2922852e+02,4.64000e+00,8.24000e+00,
1.2925781e+02,4.64000e+00,8.24000e+00,
1.2928711e+02,4.60000e+00,8.24000e+00,
1.2931641e+02,4.64000e+00,8.24000e+00,
1.2934570e+02,4.60000e+00,8.24000e+00,
1.2937500e+02,4.64000e+00,8.24000e+00,
1.2940430e+02,4.60000e+00,8.24000e+00,
1.2943359e+02,4.64000e+00,8.24000e+00,
1.2946289e+02,4.64000e+00,8.24000e+00,
1.2949219e+02,4.60000e+00,8.24000e+00,
1.2952148e+02,4.64000e+00,8.24000e+00,
1.2955078e+02,4.64000e+00,8.24000e+00,
1.2958008e+02,4.64000e+00,8.24000e+00,
1.2960938e+02,4.60000e+00,8.24000e+00,
1.2963867e+02,4.64000e+00,8.24000e+00,
1.2966797e+02,4.64000e+00,8.24000e+00,
1.2969727e+02,4.60000e+00,8.24000e+00,
1.2972656e+02,4.64000e+00,8.24000e+00,
1.2975586e+02,4.64000e+00,8.24000e+00,
1.2978516e+02,4.64000e+00,8.24000e+00,
1.2981445e+02,4.64000e+00,8.24000e+00,
